%alt,km	temp,K	static_press,Pa	rho,kg/cum
0 303.15	100500 1.15491
0.5 299.9	94972.5 1.103285523
1 296.65	89696.25 1.053855375
1.5 293.4	84661.2 1.005233664
2 290.15	79857.3 0.958806282
2.5 286.9	75274.5 0.913995774
3 283.65	70902.75 0.87080214
3.5 280.4	66742.05 0.82922538
4 277.15	62782.35 0.789150003
4.5 273.9	59023.65 0.7506915
5 270.65	55435.8 0.713503398
5.5 267.4	52028.85 0.677816679
6 264.15	48802.8 0.643631343
6.5 260.9	45727.5 0.610600917
7 257.65	42823.05 0.578956383
7.5 254.4	40059.3 0.54858225
8 251.15	37446.3 0.519478518
8.5 247.9	34974 0.491529696
9 244.65	32632.35 0.464735784
9.5 241.4	30421.35 0.439096782
10 238.15	28330.95 0.409762068
10.5 234.9	26361.15 0.391052526
11 231.65	24501.9 0.368531781
11.5 228.4	22753.2 0.347050455
12 225.15	21105	0.326608548
12.5 221.9	19557.3 0.307090569
13 218.65	18100.05 0.288381027
13.5 215.4	16733.25 0.270595413
14 212.15	15446.85 0.253733727
14.5 208.9	14220.75 0.237564987
15 205.65	13125.3 0.222320175
15.5 202.4	12070.05 0.207768309
16 199	11044.95 0.193331934 
